#################################
##                           ####
##                           ####
##                           ####
##                           ####
##                           ####
##                           ####
##                           ####
##                           ####
##                           ####
##                           ####
##                           ####
##                           ####
                                #
P                               #
##                           ####
##                           ####
##                           ####
##                           ####
##                           ####
##                           ####
##                           ####
##                           ####
##                           ####
##                           ####
##                           ####
##                           ####
#################################
#################################
